Algoritmo,Pontos,Caminho,Distancia,Nós Expandidos,Tempo,Fator de Ramificação Médio
Dijkstra,"(9, 3)","[9, 603, 594, 588, 592, 590, 591, 587, 586, 596, 598, 1147, 7, 1148, 1072, 1153, 1154, 1178, 1176, 1177, 1179, 1182, 1181, 1183, 1274, 1355, 1358, 1357, 1359, 1280, 1287, 1371, 1373, 1374, 1382, 1383, 1381, 1385, 1387, 1443, 1442, 1444, 1445, 1447, 1448, 1460, 1461, 1462, 1463, 1474, 3137, 3138, 3139, 3142, 3141, 3145, 3158, 3160, 3157, 3164, 3165, 3175, 3176, 3178, 3180, 3206, 3207, 3211, 3261, 3262, 3923, 3924, 3864, 3926, 4, 3]",98422,264346,2.5897042751312256,102075.7476204904
A* HAVERSINI,"(9, 3)","[9, 603, 594, 588, 592, 590, 591, 587, 586, 596, 598, 1147, 7, 1148, 1072, 1153, 1154, 1178, 1176, 1177, 1179, 1182, 1181, 1183, 1274, 1355, 1358, 1357, 1359, 1280, 1287, 1371, 1373, 1374, 1382, 1383, 1381, 1385, 1387, 1443, 1442, 1444, 1445, 1447, 1448, 1460, 1461, 1462, 1463, 1474, 3137, 3138, 3139, 3142, 3141, 3145, 3158, 3160, 3157, 3164, 3165, 3175, 3176, 3178, 3180, 3206, 3207, 3211, 3261, 3262, 3923, 3924, 3864, 3926, 4, 3]",98422,2802,0.9526209831237793,2941.3586826650035
A* EUCLIDIANO,"(9, 3)","[9, 603, 594, 588, 592, 590, 591, 587, 586, 596, 598, 1147, 7, 1148, 1072, 1153, 1154, 1178, 1176, 1177, 1179, 1182, 1181, 1183, 1274, 1355, 1358, 1357, 1359, 1280, 1287, 1371, 1373, 1374, 1382, 1383, 1381, 1385, 1387, 1443, 1442, 1444, 1445, 1447, 1448, 1460, 1461, 1462, 1463, 1474, 3137, 3138, 3139, 3142, 3141, 3145, 3158, 3160, 3157, 3164, 3165, 3175, 3176, 3178, 3180, 3206, 3207, 3211, 3261, 3262, 3923, 3924, 3864, 3926, 4, 3]",98422,3007,1.1813926696777344,2545.3010478050987
A* MANHATTAN,"(9, 3)","[9, 603, 594, 588, 592, 590, 591, 587, 586, 596, 598, 1147, 7, 1148, 1072, 1153, 1154, 1178, 1176, 1177, 1179, 1182, 1181, 1183, 1274, 1355, 1358, 1357, 1359, 1280, 1287, 1371, 1373, 1374, 1382, 1383, 1381, 1385, 1387, 1443, 1442, 1444, 1445, 1447, 1448, 1460, 1461, 1462, 1463, 1474, 3137, 3138, 3139, 3142, 3141, 3145, 3158, 3160, 3157, 3164, 3165, 3175, 3176, 3178, 3180, 3206, 3207, 3211, 3261, 3262, 3923, 3924, 3864, 3926, 4, 3]",98422,3007,1.1314949989318848,2657.545992548412
BFS,"(9, 3)","[9, 603, 594, 588, 592, 590, 591, 587, 586, 596, 598, 1147, 7, 1148, 1072, 1153, 1154, 1178, 1176, 1177, 1179, 1182, 1186, 1215, 1216, 1218, 1401, 1402, 1405, 1404, 1410, 3591, 3601, 3592, 3603, 3594, 3604, 1441, 1495, 3649, 3650, 3652, 3653, 3661, 3663, 3664, 3667, 3679, 3681, 3682, 3685, 3686, 3823, 3824, 3199, 3220, 3221, 3222, 3223, 3848, 3854, 3855, 3856, 3868, 3870, 3876, 3937, 4, 3]",113736,6116,0.2415153980255127,25323.437139001508
Dijkstra,"(4, 15)","[4, 3926, 3864, 3924, 3923, 3262, 3261, 3211, 3207, 3206, 3180, 3178, 3176, 3175, 3165, 3164, 3157, 3156, 3024, 3021, 3018, 3017, 3003, 2988, 2986, 2969, 2951, 2967, 2964, 2956, 2929, 2927, 2952, 2547, 2522, 2545, 2518, 2507, 2508, 2505, 2483, 2478, 2467, 2468, 2466, 2465, 2369, 2366, 2340, 2338, 2339, 2333, 2334, 2329, 2029, 2027, 2019, 2022, 2000, 1996, 1997, 1993, 1992, 1989, 1984, 1892, 1889, 1886, 408, 398, 397, 396, 393, 391, 284, 283, 282, 280, 279, 271, 278, 276, 255, 274, 273, 251, 14, 15]",112304,264346,2.7247817516326904,97015.47650251392
A* HAVERSINI,"(4, 15)","[4, 3926, 3864, 3924, 3923, 3262, 3261, 3211, 3207, 3206, 3180, 3178, 3176, 3175, 3165, 3164, 3157, 3156, 3024, 3021, 3018, 3017, 3003, 2988, 2986, 2969, 2951, 2967, 2964, 2956, 2929, 2927, 2952, 2547, 2522, 2545, 2518, 2507, 2508, 2505, 2483, 2478, 2467, 2468, 2466, 2465, 2369, 2366, 2340, 2338, 2339, 2333, 2334, 2329, 2029, 2027, 2019, 2022, 2000, 1996, 1997, 1993, 1992, 1989, 1984, 1892, 1889, 1886, 408, 398, 397, 396, 393, 391, 284, 283, 282, 280, 279, 271, 278, 276, 255, 274, 273, 251, 14, 15]",112304,4161,2.126628875732422,1956.6178412615272
A* EUCLIDIANO,"(4, 15)","[4, 3926, 3864, 3924, 3923, 3262, 3261, 3211, 3207, 3206, 3180, 3178, 3176, 3175, 3165, 3164, 3157, 3156, 3024, 3021, 3018, 3017, 3003, 2988, 2986, 2969, 2951, 2967, 2964, 2956, 2929, 2927, 2952, 2547, 2522, 2545, 2518, 2507, 2508, 2505, 2483, 2478, 2467, 2468, 2466, 2465, 2369, 2366, 2340, 2338, 2339, 2333, 2334, 2329, 2029, 2027, 2019, 2022, 2000, 1996, 1997, 1993, 1992, 1989, 1984, 1892, 1889, 1886, 408, 398, 397, 396, 393, 391, 284, 283, 282, 280, 279, 271, 278, 276, 255, 274, 273, 251, 14, 15]",112304,4257,2.2636735439300537,1880.5715211961408
A* MANHATTAN,"(4, 15)","[4, 3926, 3864, 3924, 3923, 3262, 3261, 3211, 3207, 3206, 3180, 3178, 3176, 3175, 3165, 3164, 3157, 3156, 3024, 3021, 3018, 3017, 3003, 2988, 2986, 2969, 2951, 2967, 2964, 2956, 2929, 2927, 2952, 2547, 2522, 2545, 2518, 2507, 2508, 2505, 2483, 2478, 2467, 2468, 2466, 2465, 2369, 2366, 2340, 2338, 2339, 2333, 2334, 2329, 2029, 2027, 2019, 2022, 2000, 1996, 1997, 1993, 1992, 1989, 1984, 1892, 1889, 1886, 408, 398, 397, 396, 393, 391, 284, 283, 282, 280, 279, 271, 278, 276, 255, 274, 273, 251, 14, 15]",112304,4257,2.0956051349639893,2031.3941443329934
BFS,"(4, 15)","[4, 3937, 3876, 3870, 3868, 3856, 3855, 3854, 3848, 3223, 3216, 3204, 3203, 3175, 3165, 3099, 3025, 3023, 3021, 2999, 2998, 2989, 2987, 2983, 2982, 2981, 1328, 1327, 1323, 1019, 1311, 1031, 1016, 1012, 989, 977, 881, 882, 874, 869, 858, 856, 854, 852, 850, 849, 476, 474, 475, 471, 470, 469, 436, 435, 404, 403, 402, 394, 393, 391, 284, 283, 282, 280, 279, 271, 278, 276, 255, 274, 273, 251, 14, 15]",133870,4184,0.23839545249938965,17550.670351024048
